Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Belarus,Europe,9449001.0,68503,,580.0,,63756.0,,4167.0,,7250.0,61.0,1344303.0,142269.0,Europe,7249.76,61.38,5.1,,93.07
UAE,Asia,9902079.0,61845,,354.0,,55739.0,,5752.0,,6246.0,36.0,5262658.0,531470.0,EasternMediterranean,6245.66,35.75,1.18,,90.13
Romania,Europe,19224023.0,57895,,2566.0,,28992.0,,26337.0,458.0,3012.0,133.0,1319369.0,68631.0,Europe,3011.6,133.48,4.39,1.74,50.08
Netherlands,Europe,17138756.0,56982,,6153.0,,,,,37.0,3325.0,359.0,1079860.0,63007.0,Europe,3324.75,359.01,5.28,,
Singapore,Asia,5854932.0,54555,,27.0,,48031.0,,6497.0,,9318.0,5.0,1474372.0,251817.0,WesternPacific,9317.79,4.61,3.7,,88.04
Guatemala,North America,17946899.0,54339,,2119.0,,42070.0,,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas,3027.77,118.07,31.46,0.05,77.42
Portugal,Europe,10193593.0,52061,,1743.0,,37840.0,,12478.0,42.0,5107.0,171.0,1705474.0,167308.0,Europe,5107.23,170.99,3.05,0.34,72.68
Poland,Europe,37842302.0,49515,,1774.0,,35642.0,,12099.0,72.0,1308.0,47.0,2374686.0,62752.0,Europe,1308.46,46.88,2.09,0.6,71.98
Nigeria,Africa,206606300.0,45244,,930.0,,32430.0,,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa,218.99,4.5,14.74,0.06,71.68
Honduras,North America,9919704.0,45098,,1423.0,,6116.0,,37559.0,52.0,4546.0,143.0,109292.0,11018.0,Americas,4546.31,143.45,41.26,0.14,13.56
Bahrain,Asia,1706669.0,42889,,156.0,,39945.0,,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean,25130.24,91.41,4.89,1.47,93.14
Japan,Asia,126435859.0,42263,,1026.0,,28877.0,,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific,334.26,8.11,4.5,0.93,68.33
Armenia,Asia,2963811.0,39819,,772.0,,31556.0,,7491.0,,13435.0,260.0,171600.0,57898.0,Europe,13435.07,260.48,23.2,,79.25
Ghana,Africa,31133483.0,39642,,199.0,,36384.0,,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa,1273.29,6.39,9.77,0.23,91.78
Kyrgyzstan,Asia,6534479.0,38659,,1447.0,,30099.0,,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe,5916.16,221.44,14.44,0.34,77.86
Afghanistan,Asia,39009447.0,36896,,1298.0,,25840.0,,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean,945.82,33.27,40.82,0.32,70.03
Switzerland,Europe,8660952.0,36108,,1985.0,,31600.0,,2523.0,23.0,4169.0,229.0,822764.0,94997.0,Europe,4169.06,229.19,4.39,0.91,87.52
Algeria,Africa,43926079.0,33626,,1273.0,,23238.0,,9115.0,57.0,766.0,29.0,,,Africa,765.51,28.98,,0.63,69.11
Azerbaijan,Asia,10148243.0,33247,,479.0,,29275.0,,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe,3276.13,47.2,4.34,1.89,88.05
Morocco,Africa,36953359.0,29644,,449.0,,20553.0,,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean,802.2,12.15,2.14,0.36,69.33
Uzbekistan,Asia,33516027.0,28315,,175.0,,19291.0,,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe,844.82,5.22,2.05,2.58,68.13
Serbia,Europe,8733665.0,27332,,621.0,,14047.0,,12664.0,120.0,3129.0,71.0,723137.0,82799.0,Europe,3129.5,71.1,3.78,0.95,51.39
Moldova,Europe,4032983.0,26628,,828.0,,18676.0,,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe,6602.56,205.31,20.79,5.08,70.14
Ireland,Europe,4943200.0,26372,,1768.0,,23364.0,,1240.0,5.0,5335.0,358.0,652917.0,132084.0,Europe,5335.01,357.66,4.04,0.4,88.59
Kenya,Africa,53881160.0,24411,,399.0,,10444.0,,13568.0,44.0,453.0,7.0,335318.0,6223.0,Africa,453.05,7.41,7.28,0.32,42.78
Venezuela,South America,28427499.0,22299,,195.0,,12146.0,,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas,784.42,6.86,1.42,0.42,54.47
Nepal,Asia,29186486.0,21750,,65.0,,15389.0,,6296.0,,745.0,2.0,731977.0,25079.0,South-EastAsia,745.21,2.23,2.97,,70.75
Austria,Europe,9011577.0,21696,,719.0,,19596.0,,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe,2407.57,79.79,2.31,1.81,90.32
Costa Rica,North America,5098730.0,21070,,200.0,,7038.0,,13832.0,103.0,4132.0,39.0,96110.0,18850.0,Americas,4132.4,39.23,21.92,0.74,33.4
Ethiopia,Africa,115223736.0,20900,,365.0,,9027.0,,11508.0,185.0,181.0,3.0,468814.0,4069.0,Africa,181.39,3.17,4.46,1.61,43.19
Australia,Australia/Oceania,25528864.0,19890,,255.0,,10941.0,,8694.0,52.0,779.0,10.0,4631419.0,181419.0,WesternPacific,779.12,9.99,0.43,0.6,55.01
El Salvador,North America,6489514.0,19126,,513.0,,9236.0,,9377.0,509.0,2947.0,79.0,251271.0,38720.0,Americas,2947.22,79.05,7.61,5.43,48.29
Czechia,Europe,10711019.0,17731,,390.0,,12320.0,,5021.0,17.0,1655.0,36.0,728670.0,68030.0,Europe,1655.4,36.41,2.43,0.34,69.48
Cameroon,Africa,26606188.0,17718,,391.0,,15320.0,,2007.0,30.0,666.0,15.0,149000.0,5600.0,Africa,665.94,14.7,11.89,1.49,86.47
Ivory Coast,Africa,26437950.0,16447,,103.0,,12484.0,,3860.0,,622.0,4.0,104584.0,3956.0,Africa,622.1,3.9,15.73,,75.9
S. Korea,Asia,51273732.0,14519,20.0,303.0,1.0,13543.0,42.0,673.0,18.0,283.0,6.0,1613652.0,31471.0,WesternPacific,283.17,5.91,0.9,2.67,93.28
Denmark,Europe,5794279.0,14306,,617.0,,12787.0,,902.0,2.0,2469.0,106.0,1654512.0,285542.0,Europe,2468.99,106.48,0.86,0.22,89.38
Palestine,Asia,5112340.0,13398,,92.0,,6907.0,,6399.0,,2621.0,18.0,200280.0,39176.0,EasternMediterranean,2620.72,18.0,6.69,,51.55
Bosnia and Herzegovina,Europe,3278650.0,13396,,384.0,,7042.0,,5970.0,,4086.0,117.0,147021.0,44842.0,Europe,4085.83,117.12,9.11,,52.57
Bulgaria,Europe,6942854.0,13014,,435.0,,7374.0,,5205.0,47.0,1874.0,63.0,294087.0,42358.0,Europe,1874.45,62.65,4.43,0.9,56.66
Madagascar,Africa,27755708.0,12526,,134.0,,10148.0,,2244.0,88.0,451.0,5.0,46301.0,1668.0,Africa,451.29,4.83,27.05,3.92,81.02
Sudan,Africa,43943536.0,11780,,763.0,,6194.0,,4823.0,,268.0,17.0,401.0,9.0,EasternMediterranean,268.07,17.36,2937.66,,52.58
North Macedonia,Europe,2083365.0,11399,,517.0,,7480.0,,3402.0,3.0,5471.0,248.0,109946.0,52773.0,Europe,5471.44,248.16,10.37,0.09,65.62
Senegal,Africa,16783877.0,10715,,223.0,,7101.0,,3391.0,33.0,638.0,13.0,114761.0,6838.0,Africa,638.41,13.29,9.34,0.97,66.27
