Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Daily_Growth_Rate,New_Cases_Pct,New_Cases_7MA,New_Deaths_7MA,New_Cases_14MA
2020-03-05,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4,84,2.9521895493970884,2.87,2185.285714285714,76.0,1553.857142857143
2020-03-06,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36,93,4.051124513258886,3.89,2551.8571428571427,83.85714285714286,1790.5714285714287
2020-03-07,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26,94,3.9872030333550468,3.83,2858.0,88.14285714285714,1953.2142857142858
2020-03-08,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43,99,3.7545578851412964,3.62,3082.285714285714,115.28571428571429,2212.5714285714284
2020-03-09,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54,102,3.5692713195321524,3.45,3357.4285714285716,128.85714285714286,2450.8571428571427
2020-03-10,118190,4260,62802,51128,5024,279,1911,3.6,53.14,6.78,105,4.439495961684603,4.25,3707.0,158.0,2748.785714285714
2020-03-11,125853,4604,65113,56136,7663,344,2311,3.66,51.74,7.07,111,6.483628056519164,6.09,4473.285714285715,193.57142857142858,3227.3571428571427
2020-03-12,131603,4909,66434,60260,5750,305,1321,3.73,50.48,7.39,113,4.568822356241009,4.37,4896.0,223.85714285714286,3540.6428571428573
2020-03-13,146008,5406,68359,72243,14405,497,1925,3.7,46.82,7.91,120,10.945799107923083,9.87,6390.571428571428,278.85714285714283,4471.214285714285
2020-03-14,157114,5823,70729,80562,11106,417,2370,3.71,45.02,8.23,133,7.6064325242452435,7.07,7400.285714285715,324.2857142857143,5129.142857142857
2020-03-15,168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72,137,7.09421184617538,6.62,8427.714285714286,381.0,5755.0
2020-03-16,182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38,143,8.71211220729824,8.01,9964.714285714286,451.85714285714283,6661.071428571428
2020-03-17,198757,7948,78944,111865,15838,804,2752,4.0,39.72,10.07,146,8.658477249492936,7.97,11509.57142857143,526.8571428571429,7608.285714285715
2020-03-18,218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86,150,9.854244127250865,8.97,13212.857142857143,605.8571428571429,8843.07142857143
2020-03-19,246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98,154,12.786304117832948,11.34,16379.714285714286,720.2857142857143,10637.857142857143
2020-03-20,275869,11429,85509,178931,29608,1478,2445,4.14,31.0,13.37,161,12.023016230747064,10.73,18551.571428571428,860.4285714285714,12471.07142857143
2020-03-21,308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63,163,11.710630770401886,10.48,21580.14285714286,1044.4285714285713,14490.214285714286
2020-03-22,341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45,168,10.841242800356943,9.78,24760.714285714286,1195.2857142857142,16594.214285714286
2020-03-23,383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36,169,12.343926109167548,10.99,28690.14285714286,1372.0,19327.428571428572
2020-03-24,424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94,171,10.720260586319208,9.69,32306.714285714286,1581.142857142857,21908.14285714286
2020-03-25,475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55,174,11.960064863999765,10.68,36768.28571428572,1849.7142857142858,24990.571428571428
2020-03-26,538666,24800,119804,394062,62960,3007,8359,4.6,22.24,20.7,175,13.235065355492681,11.69,41774.28571428572,2121.285714285714,29077.0
2020-03-27,603066,28318,128508,446240,64400,3518,8704,4.7,21.31,22.04,176,11.955460340916257,10.68,46744.57142857143,2412.714285714286,32648.071428571428
2020-03-28,670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176,11.218838402430254,10.09,51794.71428571428,2694.714285714286,36687.42857142857
2020-03-29,730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176,8.88250440196623,8.16,55532.857142857145,2948.4285714285716,40146.78571428572
2020-03-30,794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177,8.851020128714238,8.13,58743.42857142857,3269.4285714285716,43716.78571428572
2020-03-31,871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179,9.612813058612035,8.77,63780.857142857145,3637.4285714285716,48043.78571428572
2020-04-01,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,8.746607295533959,8.04,67409.0,4033.714285714286,52088.642857142855
2020-04-02,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,8.59029790970367,7.91,70043.14285714286,4504.857142857143,55908.71428571428
2020-04-03,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,8.081398060969835,7.48,72722.42857142857,4857.285714285715,59733.5
2020-04-04,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,7.235081011722633,6.75,74551.85714285714,5166.142857142857,63173.28571428572
2020-04-05,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,6.01365436119492,5.67,76286.28571428571,5387.285714285715,65909.57142857143
2020-04-06,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,5.74798466191675,5.44,77433.85714285714,5625.571428571428,68088.64285714286
2020-04-07,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,5.7497666375462275,5.44,77499.14285714286,6062.428571428572,70640.0
2020-04-08,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,5.925314513784707,5.59,78579.28571428571,6231.571428571428,72994.14285714286
2020-04-09,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,5.7841621127866505,5.47,79325.85714285714,6420.714285714285,74684.5
2020-04-10,1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184,5.53309486071949,5.24,79969.14285714286,6604.571428571428,76345.78571428571
2020-04-11,1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184,4.603425908259262,4.4,79469.42857142857,6637.142857142857,77010.64285714286
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184,5.533909857325181,5.24,83052.85714285714,6738.571428571428,79669.57142857143
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184,3.7706979589337664,3.63,82613.14285714286,6726.428571428572,80023.5
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184,3.6510695487318445,3.52,81620.85714285714,6583.0,79560.0
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184,4.071633015544229,3.91,81200.0,6808.285714285715,79889.64285714286
